Ticker,Company,Sector,Industry,Country,Price,Market Cap (billions)
BBY,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail,USA,84.31,18.03
BDX,Becton Dickinson & Co,Healthcare,Medical Instruments & Supplies,USA,236.19,68.5
BF-A,Brown-Forman Corp,Consumer Defensive,Beverages - Wineries & Distilleries,USA,34.3,16.27
BF-B,Brown-Forman Corp,Consumer Defensive,Beverages - Wineries & Distilleries,USA,34.47,16.26
BG,Bunge Global SA,Consumer Defensive,Farm Products,USA,81.99,11.45
BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General,USA,150.18,21.88
BJ,BJ's Wholesale Club Holdings Inc,Consumer Defensive,Discount Stores,USA,96.0,12.68
BK,Bank Of New York Mellon Corp,Financial,Banks - Diversified,USA,76.11,55.34
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services,USA,4763.9,157.67
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA,44.83,44.36
BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment,USA,146.47,16.86
BLK,Blackrock Inc,Financial,Asset Management,USA,955.01,147.91
BMRN,Biomarin Pharmaceutical Inc,Healthcare,Biotechnology,USA,66.99,12.77
BMY,Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General,USA,55.36,112.28
BR,"Broadridge Financial Solutions, Inc",Technology,Information Technology Services,USA,224.81,26.28
BRK-A,Berkshire Hathaway Inc,Financial,Insurance - Diversified,USA,666280.0,958.73
BRK-B,Berkshire Hathaway Inc,Financial,Insurance - Diversified,USA,443.91,956.7
BRO,"Brown & Brown, Inc",Financial,Insurance Brokers,USA,102.55,29.33
BSX,Boston Scientific Corp,Healthcare,Medical Devices,USA,94.61,139.44
BSY,Bentley Systems Inc,Technology,Software - Application,USA,45.36,13.71
BURL,Burlington Stores Inc,Consumer Cyclical,Apparel Retail,USA,284.9,18.09
BWXT,BWX Technologies Inc,Industrials,Aerospace & Defense,USA,114.54,10.47
BX,Blackstone Inc,Financial,Asset Management,USA,165.77,201.06
BXP,BXP Inc,Real Estate,REIT - Office,USA,69.32,23.02
C,Citigroup Inc,Financial,Banks - Diversified,USA,72.77,137.63
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA,26.27,12.54
CAH,"Cardinal Health, Inc",Healthcare,Medical Distribution,USA,120.86,29.25
CARR,Carrier Global Corp,Industrials,Building Products & Equipment,USA,67.11,60.21
CART,Maplebear Inc,Consumer Cyclical,Internet Retail,USA,44.51,11.43
CASY,"Casey's General Stores, Inc",Consumer Cyclical,Specialty Retail,USA,392.54,14.57
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,USA,362.5,175.02
CAVA,Cava Group Inc,Consumer Cyclical,Restaurants,USA,111.03,12.72
CBOE,Cboe Global Markets Inc,Financial,Financial Data & Stock Exchanges,USA,192.72,20.18
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,USA,123.56,37.81
CCI,Crown Castle Inc,Real Estate,REIT - Specialty,USA,85.73,37.26
CCL,Carnival Corp,Consumer Cyclical,Travel Services,USA,23.89,29.9
CDNS,"Cadence Design Systems, Inc",Technology,Software - Application,USA,292.5,80.22
CDW,CDW Corp,Technology,Information Technology Services,USA,180.92,24.11
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,USA,279.24,87.34
CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,USA,95.5,16.62
CFG,Citizens Financial Group Inc,Financial,Banks - Regional,USA,44.16,19.46
CG,Carlyle Group Inc,Financial,Asset Management,USA,50.54,18.08
CHD,"Church & Dwight Co., Inc",Consumer Defensive,Household & Personal Products,USA,102.86,25.2
CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA,103.57,12.24
CHTR,Charter Communications Inc,Communication Services,Telecom Services,USA,337.84,96.08
CHWY,Chewy Inc,Consumer Cyclical,Internet Retail,USA,35.88,14.67
CI,Cigna Group,Healthcare,Healthcare Plans,USA,282.45,78.56
CIEN,CIENA Corp,Technology,Communication Equipment,USA,82.24,11.69
CINF,Cincinnati Financial Corp,Financial,Insurance - Property & Casualty,USA,135.92,21.25
CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,USA,87.1,71.16
CLH,"Clean Harbors, Inc",Industrials,Waste Management,USA,229.96,12.39
CLX,Clorox Co,Consumer Defensive,Household & Personal Products,USA,157.47,19.49
CMCSA,Comcast Corp,Communication Services,Telecom Services,USA,36.45,139.48
CME,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,229.45,82.69
CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,USA,56.26,76.66
CMI,Cummins Inc,Industrials,Specialty Industrial Machinery,USA,361.07,49.53
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,64.99,19.42
CNA,CNA Financial Corp,Financial,Insurance - Property & Casualty,USA,46.27,12.53
CNC,Centene Corp,Healthcare,Healthcare Plans,USA,63.7,32.16
CNM,Core & Main Inc,Industrials,Industrial Distribution,USA,51.75,10.28
CNP,Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric,USA,31.61,20.6
COF,Capital One Financial Corp,Financial,Credit Services,USA,180.33,68.75
COHR,Coherent Corp,Technology,Scientific & Technical Instruments,USA,92.05,14.24
COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges,USA,251.2,62.89
COKE,Coca-Cola Consolidated Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,1257.82,11.02
COO,"Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies,USA,91.28,18.22
COP,Conoco Phillips,Energy,Oil & Gas E&P,USA,104.23,134.83
COR,Cencora Inc,Healthcare,Medical Distribution,USA,236.09,45.63
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,924.7,410.47
CPAY,Corpay Inc,Technology,Software - Infrastructure,USA,352.23,24.55
CPB,Campbells Co,Consumer Defensive,Packaged Foods,USA,38.62,11.51
CPNG,Coupang Inc,Consumer Cyclical,Internet Retail,USA,21.8,39.22
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,55.63,53.6
CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,111.66,11.91
CQP,Cheniere Energy Partners LP,Energy,Oil & Gas Midstream,USA,56.47,27.33
CRBG,Corebridge Financial Inc,Financial,Asset Management,USA,29.61,16.84
CRH,CRH Plc,Basic Materials,Building Materials,USA,91.55,62.19
CRM,Salesforce Inc,Technology,Software - Application,USA,319.07,305.35
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA,341.46,84.11
CSCO,"Cisco Systems, Inc",Technology,Communication Equipment,USA,58.76,234.03
CSGP,"Costar Group, Inc",Real Estate,Real Estate Services,USA,69.29,28.41
CSL,Carlisle Companies Inc,Industrials,Building Products & Equipment,USA,373.16,16.91
CSX,CSX Corp,Industrials,Railroads,USA,31.89,61.5
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,190.6,76.92
CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P,USA,28.61,21.07
CTSH,Cognizant Technology Solutions Corp,Technology,Information Technology Services,USA,76.68,38.02
